max_depth;min_samples_leaf;min_samples_split;class_weight;cv_auc_mean;cv_auc_se;train_auc;overfit_gap;n_leaves;depth
4;80;100;balanced;0,6493695714930453;0,009459755752450493;0,6591848489923975;0,009815277499352182;16;4
4;80;50;balanced;0,6493695714930453;0,009459755752450493;0,6591848489923975;0,009815277499352182;16;4
5;80;50;balanced;0,6492242573475528;0,009399204440439768;0,6753706624517812;0,026146405104228387;30;5
5;80;100;balanced;0,6492242573475528;0,009399204440439768;0,6753706624517812;0,026146405104228387;30;5
4;80;200;balanced;0,6488970320482513;0,009660284450691507;0,6591848489923975;0,010287816944146155;16;4
5;80;200;balanced;0,6488933650312085;0,009633062964348738;0,6750164798700478;0,026123114838839223;28;5
4;20;100;balanced;0,6480917496707598;0,008997907224808161;0,6622480436769478;0,014156294006188008;16;4
4;40;100;balanced;0,6480692281725217;0,00913581196400523;0,6622480436769478;0,014178815504426123;16;4
4;40;50;balanced;0,6480692281725217;0,00913581196400523;0,6622480436769478;0,014178815504426123;16;4
5;20;200;balanced;0,6478949398506063;0,00854635526813228;0,6786276418392241;0,030732701988617772;29;5
5;20;100;balanced;0,6476359817323427;0,008002681617136449;0,6794962191928559;0,03186023746051314;30;5
4;20;50;balanced;0,6476084298713719;0,009220973610489321;0,6622480436769478;0,01463961380557588;16;4
5;20;400;balanced;0,6474760638793334;0,008900185502222355;0,6701716766090573;0,02269561272972387;23;5
5;40;200;balanced;0,6471511731665025;0,00887662512209879;0,6786632940651299;0,03151212089862743;29;5
4;20;200;balanced;0,6471377619463917;0,009408789047023827;0,6622480436769478;0,015110281730556063;16;4
4;40;200;balanced;0,6471152404481536;0,009540306234794578;0,6622480436769478;0,015132803228794178;16;4
4;160;50;balanced;0,6469708906122941;0,009481448660507798;0,6570040097612823;0,01003311914898819;15;4
4;160;200;balanced;0,6469708906122941;0,009481448660507798;0,6570040097612823;0,01003311914898819;15;4
4;160;100;balanced;0,6469708906122941;0,009481448660507798;0,6570040097612823;0,01003311914898819;15;4
5;20;50;balanced;0,6469555262388559;0,008289556230670441;0,6802719522081913;0,03331642596933537;32;5
5;80;400;balanced;0,6469363277307097;0,010071450822928084;0,6685515429057827;0,02161521517507292;22;5
5;40;400;balanced;0,646788164663603;0,008778860190117407;0,6709824676465334;0,02419430298293035;23;5
4;80;400;balanced;0,6462503163174886;0,009236076585510622;0,6573247683812292;0,01107445206374058;15;4
4;20;400;balanced;0,6456202200105269;0,00908920854596344;0,6584440254482617;0,01282380543773487;15;4
4;160;400;balanced;0,6452766549163145;0,008890302603271076;0,6570040097612823;0,011727354844967786;15;4
4;40;400;balanced;0,6449120570903164;0,00923019000757345;0,6584440254482617;0,013531968357945345;15;4
5;160;200;balanced;0,6448546158114123;0,011442067123987714;0,6698960031997873;0,025041387388374914;26;5
5;160;50;balanced;0,6448546158114123;0,011442067123987714;0,6698960031997873;0,025041387388374914;26;5
5;160;100;balanced;0,6448546158114123;0,011442067123987714;0,6698960031997873;0,025041387388374914;26;5
6;160;50;balanced;0,6446905396000231;0,010957098438914412;0,676264159225812;0,03157361962578886;36;6
6;160;100;balanced;0,6446905396000231;0,010957098438914412;0,676264159225812;0,03157361962578886;36;6
6;160;200;balanced;0,6446905396000231;0,010957098438914412;0,676264159225812;0,03157361962578886;36;6
6;80;400;balanced;0,6446033306933473;0,010308563819607224;0,6739130434782608;0,029309712784913455;29;6
5;40;100;balanced;0,6443725197446029;0,007356260980417134;0,6795318714187617;0,035159351674158845;30;5
5;40;50;balanced;0,6443725197446029;0,007356260980417134;0,6795318714187617;0,035159351674158845;30;5
6;160;400;balanced;0,643748399516929;0,010472522402088904;0,6718513792397832;0,02810297972285425;28;6
6;40;200;balanced;0,6428088908494427;0,007831631439587485;0,6904669290323875;0,047658038182944784;46;6
5;160;400;balanced;0,642792480752894;0,01101306667168529;0,6673345764571269;0,024542095704232936;22;5
6;40;400;balanced;0,642648634250357;0,008197094850408933;0,6771812384617698;0,0345326042114128;30;6
6;80;200;balanced;0,6425094290861534;0,010631864101796899;0,6856998179136837;0,043190388827530346;45;6
6;20;400;balanced;0,6422845080724363;0,008350801172992646;0,6755415703097176;0,03325706223728131;29;6
