max_depth;min_samples_leaf;min_samples_split;class_weight;cv_auc_mean;cv_auc_se;train_auc;overfit_gap;n_leaves;depth
5;160;400;balanced;0,6674062147707702;0,003719951021934881;0,6808329824189017;0,013426767648131444;23;5
5;160;200;balanced;0,6673624421715618;0,0037493760329278154;0,6808329824189017;0,013470540247339846;23;5
5;160;100;balanced;0,6673624421715618;0,0037493760329278154;0,6808329824189017;0,013470540247339846;23;5
5;160;50;balanced;0,6673624421715618;0,0037493760329278154;0,6808329824189017;0,013470540247339846;23;5
5;20;400;balanced;0,6662755021663067;0,002744277340517109;0,6814584945257348;0,015182992359428105;23;5
5;40;400;balanced;0,666202234750594;0,003053483463509472;0,6816043094574578;0,015402074706863722;23;5
5;80;400;balanced;0,6660575797492463;0,0032780665880696395;0,681438281283879;0,015380701534632668;23;5
5;80;200;balanced;0,6652334215311877;0,0031047764319455553;0,6818555912936703;0,016622169762482653;25;5
5;80;100;balanced;0,6652317812807874;0,0030906178953061768;0,6826581226134967;0,01742634133270926;28;5
5;80;50;balanced;0,6652317812807874;0,0030906178953061768;0,6826581226134967;0,01742634133270926;28;5
5;20;200;balanced;0,6650821219129192;0,002622767142042025;0,6823984031396285;0,017316281226709362;26;5
5;20;100;balanced;0,6650240803282511;0,0028980566657423757;0,6845112289765166;0,019487148648265507;30;5
6;160;400;balanced;0,6649140339360315;0,00447583640464946;0,6861893417301737;0,021275307794142106;34;6
5;40;50;balanced;0,664894420147285;0,003041406350036968;0,68393545827713;0,019041038129845034;32;5
5;40;100;balanced;0,6648938125357111;0,003039955414803598;0,683773146087675;0,018879333551963917;30;5
5;20;50;balanced;0,6648712408394625;0,00288274568088722;0,6846365881645405;0,019765347325078064;31;5
5;40;200;balanced;0,6647288700717155;0,0030545423195639087;0,6820215053487348;0,017292635277019297;25;5
6;160;200;balanced;0,6644159740546218;0,004343122006260185;0,6861893417301737;0,021773367675551825;34;6
6;160;50;balanced;0,6644159740546218;0,004343122006260185;0,6861893417301737;0,021773367675551825;34;6
6;160;100;balanced;0,6644159740546218;0,004343122006260185;0,6861893417301737;0,021773367675551825;34;6
6;20;400;balanced;0,6637886810943204;0,003272426125118921;0,6884837158585936;0,02469503476427315;35;6
6;40;400;balanced;0,6632657698476694;0,0032200641258367546;0,6880111368258165;0,02474536697814711;35;6
6;20;200;balanced;0,6632034118866523;0,0025997746136017367;0,6904898551493698;0,027286443262717452;42;6
6;40;100;balanced;0,6628097768959353;0,0024712484650707884;0,6919570840208973;0,02914730712496194;49;6
6;40;50;balanced;0,6626075149435973;0,0026013811959103386;0,6924013188676705;0,02979380392407327;53;6
6;20;100;balanced;0,6625277533147984;0,002614938819967371;0,6936618077856215;0,03113405447082307;50;6
6;40;200;balanced;0,6624761940752358;0,0026725220993876354;0,6893409313440194;0,02686473726878358;40;6
6;80;400;balanced;0,6623413061109339;0,003635609773854965;0,6877383079876115;0,025397001876677594;35;6
6;20;50;balanced;0,6621845700237496;0,0028617238452210932;0,6947270898523534;0,03254251982860379;55;6
6;80;200;balanced;0,6617365421055513;0,003583599495156341;0,6890566050654927;0,027320062959941382;40;6
6;80;50;balanced;0,6614701085074387;0,0033512897587291255;0,6898745281199433;0,028404419612504617;44;6
6;80;100;balanced;0,6614701085074387;0,0033512897587291255;0,6898745281199433;0,028404419612504617;44;6
4;160;50;balanced;0,6600780156994233;0,004283458226437057;0,668873133876994;0,008795118177570727;14;4
4;160;200;balanced;0,6600780156994233;0,004283458226437057;0,668873133876994;0,008795118177570727;14;4
4;160;400;balanced;0,6600780156994233;0,004283458226437057;0,668873133876994;0,008795118177570727;14;4
4;160;100;balanced;0,6600780156994233;0,004283458226437057;0,668873133876994;0,008795118177570727;14;4
4;80;400;balanced;0,6591303647705423;0,004016916851831263;0,6688918279161273;0,009761463145585014;14;4
4;80;100;balanced;0,6590734933438919;0,003876443655117778;0,6694304887011259;0,010356995357234;16;4
4;80;50;balanced;0,6590734933438919;0,003876443655117778;0,6694304887011259;0,010356995357234;16;4
4;80;200;balanced;0,6589600230599351;0,003883650032528805;0,6694304887011259;0,010470465641190807;16;4
4;40;400;balanced;0,6589436166137709;0,003913526218008471;0,6688918279161273;0,009948211302356458;14;4
4;20;400;balanced;0,6589436166137709;0,003913526218008471;0,6688918279161273;0,009948211302356458;14;4
4;20;50;balanced;0,6589021425644341;0,003787970100029231;0,6693875159480623;0,010485373383628205;16;4
4;20;100;balanced;0,6589021425644341;0,003787970100029231;0,6693875159480623;0,010485373383628205;16;4
4;40;200;balanced;0,6587871847162157;0,0037925605299938482;0,6694304887011259;0,010643303984910202;16;4
4;20;200;balanced;0,6587871847162157;0,0037925605299938482;0,6693875159480623;0,010600331231846671;16;4
4;40;100;balanced;0,6585715784020196;0,0036788614590214405;0,6694304887011259;0,01085891029910624;16;4
4;40;50;balanced;0,6585715784020196;0,0036788614590214405;0,6694304887011259;0,01085891029910624;16;4
3;160;50;balanced;0,6541752609314196;0,004362931804369428;0,6590538776329994;0,004878616701579741;8;3
3;160;100;balanced;0,6541752609314196;0,004362931804369428;0,6590538776329994;0,004878616701579741;8;3
3;160;400;balanced;0,6541752609314196;0,004362931804369428;0,6590538776329994;0,004878616701579741;8;3
3;160;200;balanced;0,6541752609314196;0,004362931804369428;0,6590538776329994;0,004878616701579741;8;3
3;80;100;balanced;0,6533202354229625;0,004218313850917064;0,6590538776329994;0,0057336422100369155;8;3
3;20;200;balanced;0,6533202354229625;0,004218313850917064;0,6590538776329994;0,0057336422100369155;8;3
3;20;400;balanced;0,6533202354229625;0,004218313850917064;0,6590538776329994;0,0057336422100369155;8;3
3;40;50;balanced;0,6533202354229625;0,004218313850917064;0,6590538776329994;0,0057336422100369155;8;3
3;40;100;balanced;0,6533202354229625;0,004218313850917064;0,6590538776329994;0,0057336422100369155;8;3
3;40;200;balanced;0,6533202354229625;0,004218313850917064;0,6590538776329994;0,0057336422100369155;8;3
3;40;400;balanced;0,6533202354229625;0,004218313850917064;0,6590538776329994;0,0057336422100369155;8;3
3;80;50;balanced;0,6533202354229625;0,004218313850917064;0,6590538776329994;0,0057336422100369155;8;3
3;80;200;balanced;0,6533202354229625;0,004218313850917064;0,6590538776329994;0,0057336422100369155;8;3
3;80;400;balanced;0,6533202354229625;0,004218313850917064;0,6590538776329994;0,0057336422100369155;8;3
3;20;100;balanced;0,6533202354229625;0,004218313850917064;0,6590538776329994;0,0057336422100369155;8;3
3;20;50;balanced;0,6533202354229625;0,004218313850917064;0,6590538776329994;0,0057336422100369155;8;3
