purchase_group;n_attempts;success;total_cost;profit;expected_bv;first_psp;second_psp
121_Germany_Master_20190212_152657;1;False;2,0;-2,0;-0,9935818254995459;Moneycard;
213_Switzerland_Visa_20190217_030412;1;False;0,5;-0,5;-0,7765875058224792;Simplecard;
357_Germany_Diners_20190123_035223;3;False;1,5;-1,5;-9,630107075489004;Simplecard;Simplecard
141_Germany_Master_20190105_210025;1;True;3,0;7,0;-3,3220506415929574;UK_Card;
348_Germany_Master_20190226_234259;3;False;1,5;-1,5;-14,742853249161794;Simplecard;Simplecard
259_Austria_Master_20190222_215857;1;True;1,0;9,0;-4,9142844163872645;Simplecard;
339_Germany_Master_20190212_174028;2;True;1,5;8,5;-9,828568832774529;Simplecard;Simplecard
106_Germany_Diners_20190107_172042;1;True;5,0;5,0;-1,467220379716414;Moneycard;
179_Germany_Master_20190116_042919;1;False;5,0;-5,0;-3,3902851396969034;Goldcard;
335_Germany_Master_20190101_030233;1;True;3,0;7,0;-3,236457532647359;UK_Card;
225_Switzerland_Master_20190119_203906;1;False;0,5;-0,5;-4,9142844163872645;Simplecard;
240_Germany_Master_20190128_041307;1;True;10,0;0,0;-4,907881921999567;Goldcard;
287_Germany_Visa_20190125_185155;1;False;0,5;-0,5;-4,523444582279341;Simplecard;
336_Germany_Visa_20190218_115714;4;True;2,5;7,5;-15,107951907360178;Simplecard;Simplecard
94_Germany_Master_20190103_064126;1;False;1,0;-1,0;-3,4223458929666952;UK_Card;
216_Germany_Diners_20190101_161907;2;True;1,5;8,5;-6,043507147527456;Simplecard;Simplecard
193_Austria_Diners_20190115_032329;1;False;0,5;-0,5;-2,855486813001555;Simplecard;
113_Germany_Visa_20190225_023944;1;False;1,0;-1,0;-3,46621998497638;UK_Card;
70_Germany_Master_20190203_233226;1;True;3,0;7,0;-3,029956831856853;UK_Card;
152_Germany_Visa_20190125_203623;1;False;1,0;-1,0;-3,4223458929666952;UK_Card;
225_Germany_Master_20190121_074845;1;False;0,5;-0,5;-4,9142844163872645;Simplecard;
106_Germany_Diners_20190211_223103;4;False;3,5;-3,5;-11,670264921028526;Simplecard;UK_Card
58_Germany_Visa_20190209_011035;1;False;0,5;-0,5;-1,2632835966169305;Simplecard;
185_Germany_Master_20190201_085619;1;False;1,0;-1,0;-3,46621998497638;UK_Card;
247_Germany_Diners_20190106_044517;2;False;1,0;-1,0;-6,4200713836593355;Simplecard;Simplecard
184_Germany_Diners_20190207_160138;1;False;2,0;-2,0;-1,553887046383081;Moneycard;
41_Germany_Visa_20190102_094441;1;True;1,0;9,0;-1,6347121680455015;Simplecard;
90_Germany_Diners_20190122_024012;1;False;1,0;-1,0;-3,0735824984978075;UK_Card;
102_Germany_Master_20190123_225406;2;True;4,0;6,0;-6,2669317451641104;UK_Card;UK_Card
250_Austria_Visa_20190221_213943;1;True;1,0;9,0;-4,523444582279341;Simplecard;
381_Germany_Visa_20190115_083604;4;False;2,0;-2,0;-15,107951907360178;Simplecard;Simplecard
280_Germany_Master_20190112_001222;3;False;1,5;-1,5;-14,742853249161794;Simplecard;Simplecard
115_Germany_Master_20190209_233224;1;True;3,0;7,0;-3,325498850711403;UK_Card;
